"Id","business_id","name","address","city","state","postal_code","latitude","longitude","phone_number",""
"7791","","Haltun Mayan Cuisine","2948 21st St","San Francisco","94110","CA","37.7574814","-122.4133972","4156436411","http://www.yelp.com/biz/haltun-mayan-cuisine-san-francisco"
"7792","","Central Kitchen","3000 20th St","San Francisco","94110","CA","37.7591525","-122.4108613","4158267004","http://www.yelp.com/biz/central-kitchen-san-francisco"
"7793","","Rose Food Mart","1000 Potrero Ave","San Francisco","94110","CA","37.7560537","-122.4068541","4156484680","http://www.yelp.com/biz/rose-food-mart-san-francisco"
"7794","","San Buena Taco Truck","2598 Harrison St","San Francisco","94111","CA","37.7559305","-122.4123692","4155596127","http://www.yelp.com/biz/san-buena-taco-truck-san-francisco"
"7795","","La Paz Restaurant Pupuseria","1028 Potrero Ave","San Francisco","94110","CA","37.7556477","-122.4068159","4155508313","http://www.yelp.com/biz/la-paz-restaurant-pupuseria-san-francisco"
"7796","","Blowfish Sushi","2170 Bryant St","San Francisco","94110","CA","37.7595688","-122.4099131","4152853848","http://www.yelp.com/biz/blowfish-sushi-san-francisco"
"7797","","Mis Antojitos","2598 Harrison St","San Francisco","94110","CA","37.7559305","-122.4123692","4156416195","http://www.yelp.com/biz/mis-antojitos-san-francisco"
"7798","","New Aux Delices","1002 Potrero Ave","San Francisco","94110","CA","37.7559882","-122.4068508","4152853196","http://www.yelp.com/biz/new-aux-delices-san-francisco"
"7799","","Cafe Buena Vista","22nd and Harrison","San Francisco","94110","CA","37.7558338","-122.4122209","","http://www.yelp.com/biz/cafe-buena-vista-san-francisco"
"7800","","Snack Bar","2495 Harrison St","San Francisco","94110","CA","37.757543","-122.4122448","","http://www.yelp.com/biz/snack-bar-san-francisco"
"7801","","Cafe Bella Vista","2598 Harrison St","San Francisco","94110","CA","37.7559305","-122.4123692","4156416195","http://www.yelp.com/biz/cafe-bella-vista-san-francisco"
"7802","","Southern Pacific Brewing","620 Treat Ave","San Francisco","94110","CA","37.7601299","-122.4140453","4153410152","http://www.yelp.com/biz/southern-pacific-brewing-san-francisco"
"7803","","Cafe Taboo","600 York St","San Francisco","94110","CA","37.7617651","-122.4093315","4153411188","http://www.yelp.com/biz/cafe-taboo-san-francisco"
"7804","","Bacon Dog Cart","The Mission","San Francisco","94110","CA","37.7599762418271","-122.41487577094","","http://www.yelp.com/biz/bacon-dog-cart-san-francisco"
"7805","","Mr Pizza Man","2680 22nd St","San Francisco","94110","CA","37.7561308","-122.4084262","8005705111","http://www.yelp.com/biz/mr-pizza-man-san-francisco-2"
"7806","","Flats Caf̩","2000 Bryant St","San Francisco","94110","CA","37.7616989","-122.410248","4158217840","http://www.yelp.com/biz/flats-caf%C3%A9-san-francisco"
"7807","","Two Sons Sandwiches","2249 17th St","San Francisco","94103","CA","37.7644835","-122.4063045","4158631213","http://www.yelp.com/biz/two-sons-sandwiches-san-francisco"
"7808","","The Taco Bike","Mission District","San Francisco","94110","CA","37.7599762418271","-122.41487577094","","http://www.yelp.com/biz/the-taco-bike-san-francisco"
"7809","","Coffee Bar","1890 Bryant St","San Francisco","94110","CA","37.76315608735","-122.41103566487","4155518100","http://www.yelp.com/biz/coffee-bar-san-francisco"
"7810","","Ca̱a Cuban Parlor","500 Florida St","San Francisco","94110","CA","37.7628874","-122.4113564","4155807888","http://www.yelp.com/biz/ca%C3%B1a-cuban-parlor-san-francisco"
"7811","","Slow Club","2501 Mariposa St","San Francisco","94110","CA","37.763082104558","-122.40847434972","4152419390","http://www.yelp.com/biz/slow-club-san-francisco"
"7812","","Paramount Piroshki","585 Potrero Ave","San Francisco","94110","CA","37.7621588","-122.4070592","4155525475","http://www.yelp.com/biz/paramount-piroshki-san-francisco"
"7813","","Stable Cafe","2128 Folsom St","San Francisco","94110","CA","37.7632389","-122.4152717","4155521199","http://www.yelp.com/biz/stable-cafe-san-francisco"
"7814","","El Tepa Taqueria","2198 Folsom St","San Francisco","94110","CA","37.7622168","-122.415145","4152558372","http://www.yelp.com/biz/el-tepa-taqueria-san-francisco"
"7815","","Tacos Santana Taco Truck","17th & Harrison","San Francisco","94110","CA","37.7641072","-122.4130022","","http://www.yelp.com/biz/tacos-santana-taco-truck-san-francisco"
"7816","","Evergreen Garden Restaurant","3100 18th St","San Francisco","94110","CA","37.762398","-122.41311","4158641657","http://www.yelp.com/biz/evergreen-garden-restaurant-san-francisco"
"7817","","Rite Spot Cafe","2099 Folsom St","San Francisco","94110","CA","37.7636992","-122.4151713","4155526066","http://www.yelp.com/biz/rite-spot-cafe-san-francisco"
"7818","","Circolo","500 Florida St","San Francisco","94110","CA","37.7628874","-122.4113564","4155538560","http://www.yelp.com/biz/circolo-san-francisco-3"
"7819","","Street Fixe","2128 Folsom St","San Francisco","94110","CA","37.7632785","-122.415268","","http://www.yelp.com/biz/street-fixe-san-francisco"
"7820","","Delmonte Deli","2249 17th St","San Francisco","94110","CA","37.7644835","-122.4063045","4154319985","http://www.yelp.com/biz/delmonte-deli-san-francisco-2"
"7821","","Marcella's Lasagneria & Cucina","1099 Tennessee St","San Francisco","94107","CA","37.7579125","-122.3892557","4159202225","http://www.yelp.com/biz/marcellas-lasagneria-and-cucina-san-francisco"
"7822","","La Stazione Coffee & Wine Bar","701 Pennsylvania Ave","San Francisco","94107","CA","37.757526545841","-122.3929480892","","http://www.yelp.com/biz/la-stazione-coffee-and-wine-bar-san-francisco"
"7823","","Guido","732 22nd St","San Francisco","94107","CA","37.7579964","-122.3889123","4156473033","http://www.yelp.com/biz/guido-san-francisco"
"7824","","Poquito","2368 3rd St","San Francisco","94107","CA","37.759581","-122.388782","4156433900","http://www.yelp.com/biz/poquito-san-francisco-2"
"7825","","Oralia's","2347 3rd St","San Francisco","94107","CA","37.7594775","-122.3883009","4156212346","http://www.yelp.com/biz/oralias-san-francisco"
"7826","","Chocolate Lab","801 22nd St","San Francisco","94107","CA","37.757875","-122.3892566","4154892881","http://www.yelp.com/biz/chocolate-lab-san-francisco"
"7827","","Kitchenette","958 Illinois St","San Francisco","94107","CA","37.7597726","-122.3876555","","http://www.yelp.com/biz/kitchenette-san-francisco"
"7828","","Hard Knox Cafe","2526 3rd St","San Francisco","94107","CA","37.7575491","-122.3883682","4156483770","http://www.yelp.com/biz/hard-knox-cafe-san-francisco"
"7829","","Just For You Cafe","732 22nd St","San Francisco","94107","CA","37.7579585099187","-122.38885402679401","4156473033","http://www.yelp.com/biz/just-for-you-cafe-san-francisco"
"7830","","Piccino","1001 Minnesota St","San Francisco","94107","CA","37.7576659","-122.3900301","4158244224","http://www.yelp.com/biz/piccino-san-francisco"
"7831","","Serpentine","2495 3rd St","San Francisco","94107","CA","37.758100271937","-122.38818876502","4152522000","http://www.yelp.com/biz/serpentine-san-francisco"
"7832","","The New Spot","632 20th St","San Francisco","94107","CA","37.7605575","-122.3878642","4155580556","http://www.yelp.com/biz/the-new-spot-san-francisco"
"7833","","Gilberth's Rotisserie & Grill","2427-2429 3rd St","San Francisco","94107","CA","37.7588611","-122.3883187","4159137163","http://www.yelp.com/biz/gilberths-rotisserie-and-grill-san-francisco"
"7834","","The Sandwich Shop","635 19th St","San Francisco","94107","CA","37.7616531","-122.3892022","4152821754","http://www.yelp.com/biz/the-sandwich-shop-san-francisco"
"7835","","Cup of Blues","900 22nd St","San Francisco","94107","CA","37.758042","-122.390412","4158267045","http://www.yelp.com/biz/cup-of-blues-san-francisco"
"7836","","Dogpatch Cafe","2295 3rd St","San Francisco","94107","CA","37.7606144","-122.3884312","4152559982","http://www.yelp.com/biz/dogpatch-cafe-san-francisco"
"7837","","Oralia's Cafe","2347 3rd St","San Francisco","94107","CA","37.7594748","-122.3883477","4156212346","http://www.yelp.com/biz/oralias-cafe-san-francisco"
"7838","","Royal Hawaiian","1155 Indiana St","San Francisco","94107","CA","37.756033","-122.3909068","4158241177","http://www.yelp.com/biz/royal-hawaiian-san-francisco"
"7839","","Cafe Razzi","2565 3rd St","San Francisco","94107","CA","37.757008","-122.3880202","4159207294","http://www.yelp.com/biz/cafe-razzi-san-francisco"
"7840","","Satellite Republic","601 22nd St","San Francisco","94107","CA","37.7579013","-122.3875061","2159643548","http://www.yelp.com/biz/satellite-republic-san-francisco"
"7841","","SLOW Club","2495 3rd St","San Francisco","94107","CA","37.7580672","-122.3881708","4152525008","http://www.yelp.com/biz/slow-club-san-francisco-2"
